id,especialidad,colegiatura,horario
51,Insurance broker,CM-1770,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
52,"Designer, furniture",CM-1349,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
53,"Development worker, international aid",CM-1753,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
54,Tax adviser,CM-6247,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
55,"Horticulturist, commercial",CM-7103,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
56,"Scientist, research (maths)",CM-8405,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}]}"
57,Medical secretary,CM-5969,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
58,Race relations officer,CM-1465,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
59,Advertising copywriter,CM-4785,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
60,"Therapist, speech and language",CM-2380,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}]}"
61,Public house manager,CM-0583,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
62,Osteopath,CM-1968,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}]}"
63,Learning disability nurse,CM-8086,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
64,Audiological scientist,CM-4401,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}]}"
65,Editorial assistant,CM-3648,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
66,Curator,CM-1172,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
67,Toxicologist,CM-8915,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
68,Haematologist,CM-4312,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
69,Fisheries officer,CM-5972,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
70,"Therapist, horticultural",CM-5149,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
71,Pension scheme manager,CM-5263,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}]}"
72,Furniture designer,CM-1420,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
73,Lawyer,CM-8099,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
74,"Conservation officer, historic buildings",CM-8066,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
75,Waste management officer,CM-2635,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
76,Chemical engineer,CM-4158,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
77,Civil Service fast streamer,CM-1333,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}]}"
78,Museum/gallery curator,CM-2939,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
79,Horticultural therapist,CM-5087,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
80,Pensions consultant,CM-5237,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
81,Merchant navy officer,CM-7937,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}]}"
82,"Doctor, hospital",CM-0111,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
83,"Engineer, site",CM-6425,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
84,Astronomer,CM-3435,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}]}"
85,Travel agency manager,CM-0922,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}]}"
86,Ranger/warden,CM-4565,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
87,"Restaurant manager, fast food",CM-2976,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
88,"Engineer, civil (consulting)",CM-7397,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
89,Amenity horticulturist,CM-2005,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}]}"
90,Print production planner,CM-4775,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}]}"
91,Sport and exercise psychologist,CM-7107,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}]}"
92,Stage manager,CM-7056,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
93,Human resources officer,CM-7634,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
94,Seismic interpreter,CM-1777,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""17:00""}}]}"
95,Special effects artist,CM-5364,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
96,"Teacher, adult education",CM-2705,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""15:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}]}"
97,Printmaker,CM-8407,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""16:00""}}]}"
98,"Administrator, local government",CM-4521,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""10:00"", ""fin"": ""15:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}]}"
99,Toxicologist,CM-4933,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""13:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""12:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""8:00"", ""fin"": ""14:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""12:00""}}]}"
100,Film/video editor,CM-1089,"{""horario"": [{""dia"": ""Lunes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""15:00""}}, {""dia"": ""Martes"", ""turnos"": {""inicio"": ""7:00"", ""fin"": ""11:00""}}, {""dia"": ""Miércoles"", ""turnos"": {""inicio"": ""11:00"", ""fin"": ""16:00""}}, {""dia"": ""Jueves"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""13:00""}}, {""dia"": ""Viernes"", ""turnos"": {""inicio"": ""9:00"", ""fin"": ""14:00""}}]}"
